Failure_ID,Device_Type,Brand,Model_Name,Usage_Duration,Failure_Type,Warranty_Status,Repair_Cost,Customer_Rating,Comments
FAIL00001,Smartwatch,Dell,Model-637,47.0,Battery Issue,No,1638.42,1.2,Perfect repair
FAIL00002,Gaming Console,OnePlus,Model-873,21.0,Overheating,Yes,3137.3,2.6,Fixed quickly
FAIL00003,Smartphone,HP,Model-543,16.0,Screen Crack,No,4252.81,1.1,nan
FAIL00004,Laptop,Sony,Model-352,11.0,Screen Crack,No,3115.47,2.4,Fixed quickly
FAIL00005,Gaming Console,OnePlus,Model-538,6.0,Software Crash,Yes,939.52,4.1,Not satisfied
FAIL00006,Laptop,Apple,Model-805,51.0,Software Crash,No,2550.34,4.2,nan
FAIL00007,Laptop,OnePlus,Model-274,19.0,Speaker Malfunction,Yes,1340.16,2.5,Very bad service
,Smartwatch,Samsung,Model-145,38.0,Battery Issue,Yes,2808.89,3.5,Perfect repair
FAIL00009,Smartphone,Dell,Model-971,56.0,Software Crash,No,487.26,3.5,Perfect repair
,Smartwatch,Dell,Model-533,18.0,Speaker Malfunction,No,4913.91,2.7,Had to replace
FAIL00011,Gaming Console,Apple,Model-888,44.0,Speaker Malfunction,No,3139.61,3.2,Had to replace
FAIL00012,Gaming Console,Lenovo,Model-844,10.0,Overheating,Yes,1970.02,3.5,Very bad service
FAIL00013,Laptop,Dell,Model-637,55.0,Speaker Malfunction,Yes,1789.92,2.8,Not satisfied
FAIL00014,Tablet,Dell,Model-860,12.0,Software Crash,No,2946.63,4.8,Not satisfied
FAIL00015,Laptop,OnePlus,Model-871,49.0,Software Crash,No,3393.41,4.5,Fixed quickly
FAIL00016,Smartphone,Sony,Model-454,33.0,Screen Crack,Yes,1248.62,3.8,Fixed quickly
FAIL00017,Tablet,HP,Model-295,15.0,Overheating,No,2799.68,3.3,Perfect repair
FAIL00018,Tablet,HP,Model-464,12.0,Screen Crack,Yes,4298.33,3.8,nan
FAIL00019,Tablet,Dell,Model-280,50.0,Battery Issue,Yes,4070.57,4.3,Perfect repair
FAIL00020,Gaming Console,Lenovo,Model-128,57.0,Screen Crack,No,1004.06,1.5,Not satisfied
FAIL00021,Smartphone,Samsung,Model-986,5.0,Battery Issue,No,1977.82,1.4,nan
FAIL00022,Gaming Console,Lenovo,Model-379,1.0,Battery Issue,No,3974.86,2.5,nan
FAIL00023,Laptop,Dell,Model-800,38.0,Software Crash,No,1614.77,4.8,nan
FAIL00024,Laptop,OnePlus,Model-165,34.0,Software Crash,Yes,3867.14,1.5,Very bad service
FAIL00025,Laptop,Samsung,Model-283,12.0,Battery Issue,Yes,3575.51,3.1,Not satisfied
FAIL00026,Laptop,Samsung,Model-109,30.0,Speaker Malfunction,Yes,995.44,1.9,Fixed quickly
FAIL00027,Gaming Console,Samsung,Model-202,11.0,Screen Crack,Yes,3514.6,1.6,nan
